state,date,new_cases,avg_cases,total_cases,recent_new,color
Arizona,2020-10-24,988,1031.2857142857142,868830,926.5714285714286,orange
Arizona,2020-10-25,1302,1044.4285714285713,868830,1007.2857142857143,orange
Arizona,2020-10-26,993,1085.142857142857,868830,1037.142857142857,orange
Arizona,2020-10-27,965,1169.857142857143,868830,1031.2857142857142,orange
Arizona,2020-10-28,1101,1294.857142857143,868830,1044.4285714285713,orange
Arizona,2020-10-29,1251,1326.2857142857142,868830,1085.142857142857,orange
Arizona,2020-10-30,1589,1300.0,868830,1169.857142857143,orange
Arizona,2020-10-31,1863,1383.2857142857142,868830,1294.857142857143,orange
Arizona,2020-11-01,1522,1370.5714285714287,868830,1326.2857142857142,orange
Arizona,2020-11-02,809,1476.142857142857,868830,1300.0,orange
Arizona,2020-11-03,1548,1551.7142857142858,868830,1383.2857142857142,orange
Arizona,2020-11-04,1012,1631.7142857142858,868830,1370.5714285714287,orange
Arizona,2020-11-05,1990,1687.857142857143,868830,1476.142857142857,orange
Arizona,2020-11-06,2118,1764.7142857142858,868830,1551.7142857142858,orange
Arizona,2020-11-07,2423,1943.4285714285713,868830,1631.7142857142858,orange
Arizona,2020-11-08,1915,2048.8571428571427,868830,1687.857142857143,orange
Arizona,2020-11-09,1347,1971.5714285714287,868830,1764.7142857142858,orange
Arizona,2020-11-10,2799,2233.5714285714284,868830,1943.4285714285713,orange
Arizona,2020-11-11,1750,2288.0,868830,2048.8571428571427,orange
Arizona,2020-11-12,1449,2317.714285714286,868830,1971.5714285714287,orange
Arizona,2020-11-13,3952,2361.8571428571427,868830,2233.5714285714284,orange
Arizona,2020-11-14,2804,2548.4285714285716,868830,2288.0,orange
Arizona,2020-11-15,2123,2765.5714285714284,868830,2317.714285714286,orange
Arizona,2020-11-16,1656,3166.1428571428573,868830,2361.8571428571427,orange
Arizona,2020-11-17,4105,3183.4285714285716,868830,2548.4285714285716,orange
Arizona,2020-11-18,3270,3371.0,868830,2765.5714285714284,orange
Arizona,2020-11-19,4253,3453.5714285714284,868830,3166.1428571428573,orange
Arizona,2020-11-20,4073,3715.5714285714284,868830,3183.4285714285716,orange
Arizona,2020-11-21,4117,3808.4285714285716,868830,3371.0,orange
Arizona,2020-11-22,2701,3881.8571428571427,868830,3453.5714285714284,orange
Arizona,2020-11-23,3490,3645.5714285714284,868830,3715.5714285714284,orange
Arizona,2020-11-24,4755,3687.8571428571427,868830,3808.4285714285716,orange
Arizona,2020-11-25,3784,3682.4285714285716,868830,3881.8571428571427,orange
Arizona,2020-11-26,2599,3756.714285714286,868830,3645.5714285714284,orange
Arizona,2020-11-27,4369,3408.285714285714,868830,3687.8571428571427,orange
Arizona,2020-11-28,4079,4330.142857142857,868830,3682.4285714285716,orange
Arizona,2020-11-29,3221,4456.857142857143,868830,3756.714285714286,orange
Arizona,2020-11-30,1051,4829.714285714285,868830,3408.285714285714,orange
Arizona,2020-12-01,11208,5194.142857142857,868830,4330.142857142857,orange
Arizona,2020-12-02,4671,5487.428571428572,868830,4456.857142857143,orange
Arizona,2020-12-03,5209,5468.714285714285,868830,4829.714285714285,orange
Arizona,2020-12-04,6920,5616.857142857143,868830,5194.142857142857,orange
Arizona,2020-12-05,6132,5915.428571428572,868830,5487.428571428572,orange
Arizona,2020-12-06,3090,5902.285714285715,868830,5468.714285714285,orange
Arizona,2020-12-07,2088,5987.571428571428,868830,5616.857142857143,orange
Arizona,2020-12-08,13298,6156.571428571428,868830,5915.428571428572,orange
Arizona,2020-12-09,4579,6352.857142857143,868830,5902.285714285715,orange
Arizona,2020-12-10,5806,6338.571428571428,868830,5987.571428571428,orange
Arizona,2020-12-11,8103,7727.857142857143,868830,6156.571428571428,orange
Arizona,2020-12-12,7506,6779.857142857143,868830,6352.857142857143,orange
Arizona,2020-12-13,2990,6727.0,868830,6338.571428571428,orange
Arizona,2020-12-14,11813,6923.857142857143,868830,7727.857142857143,orange
Arizona,2020-12-15,6662,6555.428571428572,868830,6779.857142857143,orange
Arizona,2020-12-16,4209,6450.142857142857,868830,6727.0,orange
Arizona,2020-12-17,7184,6422.142857142857,868830,6923.857142857143,orange
Arizona,2020-12-18,5524,5840.857142857143,868830,6555.428571428572,orange
Arizona,2020-12-19,6769,6175.714285714285,868830,6450.142857142857,orange
Arizona,2020-12-20,2794,6339.428571428572,868830,6422.142857142857,orange
Arizona,2020-12-21,7744,6426.857142857143,868830,5840.857142857143,orange
Arizona,2020-12-22,9006,6136.428571428572,868830,6175.714285714285,orange
Arizona,2020-12-23,5355,6067.142857142857,868830,6339.428571428572,orange
Arizona,2020-12-24,7796,5841.142857142857,868830,6426.857142857143,orange
Arizona,2020-12-25,3491,6181.571428571428,868830,6136.428571428572,orange
Arizona,2020-12-26,6284,5742.428571428572,868830,6067.142857142857,orange
Arizona,2020-12-27,1212,5665.714285714285,868830,5841.142857142857,orange
Arizona,2020-12-28,10127,5761.0,868830,6181.571428571428,orange
Arizona,2020-12-29,5932,6182.0,868830,5742.428571428572,orange
Arizona,2020-12-30,4818,6555.0,868830,5665.714285714285,orange
Arizona,2020-12-31,8463,8842.142857142857,868830,5761.0,orange
Arizona,2021-01-01,6438,8132.285714285715,868830,6182.0,orange
Arizona,2021-01-02,8895,8732.57142857143,868830,6555.0,orange
